,0
0,128.0316
1,129.0505
2,150.0379
3,153.0656
4,164.0366
5,171.1353
6,176.0414
7,179.079
8,179.1152
9,192.9865
10,193.131
11,199.1658
12,205.1555
13,208.0715
14,208.105
15,212.0699
16,213.0736
17,214.0674
18,217.1058
19,219.1699
20,221.0547
21,226.1168
22,227.1966
23,230.0651
24,236.0992
25,240.1315
26,241.1181
27,248.0975
28,253.2122
29,255.2278
30,256.2319
31,258.1026
32,262.094
33,264.0944
34,265.1067
35,265.1404
36,271.2203
37,276.1093
38,279.2324
39,280.2342
40,281.1209
41,281.2436
42,282.2481
43,283.1369
44,283.2598
45,291.0849
46,292.0955
47,293.1715
48,297.1511
49,302.0621
50,302.1468
51,303.2303
52,304.234
53,305.2505
54,307.2686
55,309.1623
56,309.2797
57,311.1661
58,312.1645
59,319.1158
60,321.2773
61,325.1807
62,326.1805
63,327.2353
64,329.2477
65,331.2609
66,333.1301
67,334.1365
68,335.1312
69,337.1772
70,337.1929
71,339.1975
72,340.1974
73,345.1457
74,347.145
75,353.2125
76,359.0699
77,361.158
78,369.1751
79,375.1479
80,375.1695
81,375.2258
82,376.1472
83,376.1675
84,377.1787
85,387.1903
86,389.1935
87,390.1563
88,391.2186
89,401.2416
90,403.2578
91,404.1712
92,410.2403
93,415.217
94,416.1813
95,416.2015
96,417.2351
97,418.1844
98,419.2525
99,420.2562
100,423.1818
101,424.2551
102,432.1985
103,439.2219
104,444.2068
105,446.2112
106,456.2029
107,460.2276
108,461.2161
109,462.223
110,464.3128
111,472.2094
112,479.276
113,480.3091
114,481.2996
115,482.2515
116,486.2208
117,488.2165
118,488.2472
119,489.247
120,491.2552
121,500.2265
122,501.2322
123,507.2604
124,508.3446
125,513.2478
126,519.2616
127,520.2767
128,522.2697
129,524.2764
130,534.2881
131,554.2615
132,555.2645
133,556.2672
134,560.2693
135,572.4804
136,573.4848
137,574.4844
138,575.388
139,575.4846
140,594.2937
141,595.2968
142,596.2992
143,598.464
144,600.5082
145,603.4707
146,615.1765
147,616.1863
148,617.2627
149,626.534
150,627.4766
151,627.5351
152,629.4881
153,630.4908
154,631.4924
155,635.4813
156,642.4879
157,643.4913
158,644.3919
159,644.5045
160,645.4954
161,651.4744
162,653.489
163,655.503
164,657.3917
165,657.515
166,658.5232
167,659.4578
168,659.5137
169,660.5123
170,661.4885
171,662.4108
172,669.4767
173,670.5266
174,673.4849
175,674.4926
176,679.4999
177,680.4996
178,681.3573
179,681.5069
180,682.5935
181,684.6037
182,685.4862
183,687.5006
184,687.5415
185,688.3861
186,688.5119
187,688.543
188,689.5516
189,690.5124
190,690.5638
191,691.496
192,696.3883
193,697.4839
194,698.498
195,699.5009
196,700.5148
197,701.518
198,702.528
199,703.5119
200,705.3935
201,705.5061
202,707.439
203,707.5173
204,708.5666
205,709.4749
206,712.4057
207,713.5161
208,714.5186
209,715.5056
210,715.5756
211,716.5225
212,717.5123
213,718.5312
214,719.4126
215,719.5243
216,720.5052
217,721.4916
218,722.5142
219,723.3941
220,723.5075
221,724.5175
222,725.5142
223,726.4113
224,726.5344
225,727.5351
226,728.5513
227,733.4612
228,734.5267
229,735.4749
230,736.4834
231,737.509
232,738.5184
233,740.5196
234,741.5145
235,742.4028
236,742.5413
237,743.5385
238,744.5556
239,745.5578
240,746.3947
241,746.5505
242,747.5147
243,748.5274
244,749.5243
245,750.5434
246,751.5395
247,752.5605
248,754.6094
249,759.4739
250,761.4937
251,762.5438
252,766.5421
253,767.5416
254,768.556
255,769.5111
256,769.5559
257,770.5728
258,771.5718
259,772.5851
260,775.5467
261,776.5575
262,778.5717
263,788.5554
264,789.5388
265,790.5526
266,794.5735
267,795.5737
268,796.5823
269,797.6612
270,818.5956
271,819.5373
272,839.6885
273,844.6436
274,846.6578
275,847.6588
276,863.6879
277,865.699
278,866.7118
279,867.7203
280,868.7224
281,869.7326
282,880.6736
283,885.5571
284,889.7086
285,890.7209
286,891.7219
287,892.7263
288,893.7406
289,894.746
290,895.7444
291,896.5959
292,896.7467
293,897.7535
294,898.7651
295,908.7007
296,917.7399
297,918.7462
298,919.7572
299,920.7574
300,921.7638
301,922.7644
302,923.7766
303,924.7681
304,954.753
305,964.7857
306,982.7949
307,1006.7955
308,1008.8073
309,1109.5387
310,1110.5421
311,1269.9716
312,1298.0084
313,1300.0171
314,1447.9836
315,1448.9874
